,source_mean,source_median,source_sum,source_rate,sky_mean,sky_median,sky_sum,sky_rate,target_mean,target_median,target_sum,target_rate,sc_area,bk_area,exposure_time,datetimes_sat,gains_sat,airmass,m_inst,m_inst_sky,calibed_mags,altitude,azimuth,utc,zenith_angle,km_distance,sunsep
0,50023.00254445767,50004.286842652255,19015397.062431037,6972825.278936577,49896.810747452415,49885.279161381346,8775470.362748832,6952982.427555382,126.19179700525274,119.0076812709085,54112.88577730954,19842.85138119502,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:45:57.485,0,1.5457701714938707,-17.31304677027325,-17.035550348372045,3.891961590776203,39.946682979405765,112.52293602054824,2024-01-29 06:45:57.485,50.053317020594235,590.5173741962956,108.64929346828741
1,50301.96756958118,50263.47632770687,19121032.003243446,7011560.94052794,50086.11784321377,50086.52840419367,8812867.546759091,6982612.971847021,215.8497263674144,176.9479235132021,78943.19685326144,28947.968680918733,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:45:58.437,0,1.5531796023068978,-17.723081806441595,-17.039661806521888,3.4792756739078343,39.71728267388794,112.08218592167914,2024-01-29 06:45:58.437,50.28271732611206,594.8474039980752,109.0034986221761
2,50536.64368615705,50506.67323076923,19209229.32216856,7043902.336971903,50417.125858809326,50404.588741502375,8870968.189097142,7028647.284369,119.51782734772132,102.08448926685378,41601.62786937505,15255.052602903952,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:45:59.392,0,1.5607131984725129,-17.02757084504301,-17.04681358934629,4.172091331823448,39.487035611085474,111.64643636933111,2024-01-29 06:45:59.392,50.512964388914526,599.2256064827424,109.35607038826447
3,50793.770329283114,50812.62741869082,19307035.633081786,7079767.289722361,50689.87480091587,50701.443398659394,8917303.163127653,7065359.420231592,103.89552836724033,111.18402003142546,39291.29846667498,14407.869490769772,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:46:00.454,0,1.5692090741878246,-16.965535985991774,-17.052671425453877,4.231086611515371,39.23092299129987,111.16926912238767,2024-01-29 06:46:00.454,50.76907700870013,604.1340489040078,109.74491225597885
4,50993.66880900067,50991.020950010374,19384167.237015158,7108050.95879042,50948.083838585,50997.14496454486,8834153.713386528,6999478.431633523,45.584970415671705,-6.124014534485468,296085.1063049771,108572.52715689671,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:46:01.417,0,1.5770202361054544,-19.15833643791142,-17.058188016055865,2.035491551090064,38.998691272880926,110.74322313761049,2024-01-29 06:46:01.417,51.001308727119074,608.6202487173441,110.09456555627877
5,51367.96215862484,51311.51897159444,19528116.23586212,7160836.142015481,51278.26100688072,51291.24799972571,9020370.899893241,7147022.069976392,89.70115174412058,20.270971868732886,37671.97002136335,13814.072039088975,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:46:02.369,0,1.5848421630813618,-16.919840862426668,-17.06520160052332,4.271188666641704,38.76917906172797,110.3281562587462,2024-01-29 06:46:02.369,51.23082093827203,613.0874828642195,110.43747908043433
6,51663.31874941879,51645.122398001666,19640753.437632494,7202139.488207756,51522.566417209724,51537.75605974498,9065319.355683956,7182635.639430771,140.75233220906375,107.36633825668832,53188.401243939996,19503.8487769843,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:46:03.333,0,1.5928637064060354,-17.29433737369115,-17.070362098449557,3.893822278470295,38.53689915978273,109.91395763767508,2024-01-29 06:46:03.333,51.46310084021727,617.643015634428,110.78193738752213
7,51991.10208971452,51912.15596142007,19761235.580565844,7246319.524477726,51803.53665916727,51798.08917190476,9112304.957761776,7219863.281037534,187.56543054724898,114.06678951530921,72148.0825448595,26456.243440192615,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:46:04.290,0,1.6009272824725258,-17.625357016561892,-17.07626690482433,3.559917720589583,38.30648570880142,109.50874659616875,2024-01-29 06:46:04.290,51.69351429119858,622.1966152920072,111.12113488399788
8,52267.86667872486,52207.56420233463,19867388.08727797,7285244.974195902,52199.26949166587,52218.03364091862,9181674.441033686,7274826.123855123,68.59718705898558,-10.469438583990268,28412.955758754164,10418.850340778476,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:46:05.142,0,1.6081900050175477,-16.61358607059988,-17.08452944221438,4.569090273839652,38.10154627956865,109.15293383253062,2024-01-29 06:46:05.142,51.89845372043135,626.2761675152204,111.42080766209446
9,52546.71007492593,52498.546506820996,19973562.210885,7324178.350692085,52438.080458423254,52398.798707190916,9226792.385896692,7310573.982925055,108.62961650267971,99.74779963008041,37100.09135821462,13604.367767030082,380.132711084365,175.9291886010284,0.007174,2024-01-29T06:46:06.111,0,1.6165458599240878,-16.903232480491923,-17.08948534300914,4.2764543799962915,37.868732554583644,108.75382986045338,2024-01-29 06:46:06.111,52.131267445416356,630.9445916862371,111.75899589139384
