,source_mean,source_median,source_sum,source_rate,sky_mean,sky_median,sky_sum,sky_rate,target_mean,target_median,target_sum,target_rate,sc_area,bk_area,exposure_time,datetimes_sat,gains_sat,airmass,m_inst,m_inst_sky,calibed_mags,altitude,azimuth,utc,zenith_angle,km_distance,sunsep
0,41047.89179534575,40894.894819466244,15601555.256531972,8156277.9664639095,40790.944211055416,40793.166177795516,41642414.52378002,8105168.293679006,256.9475842903339,101.7286416707284,97764.00306310505,51109.672784901806,380.132711084365,1021.0176124166828,0.005032,2024-01-29T07:14:23.758,0,1.7953521335695086,-18.34029432251825,-17.201829624545827,2.7754208089922985,33.535365869167016,42.72834356473334,2024-01-29 07:14:23.758,56.464634130832984,797.1151390485301,114.04948273663041
1,40758.580622955065,40608.415054220706,15490917.287714388,8098437.961894916,40501.500123682745,40502.11491522674,41352401.08558549,8048720.852989592,257.0804992723206,106.30013899396727,95100.26815794595,49717.10890532615,380.132711084365,1021.0176124166828,0.005032,2024-01-29T07:14:24.940,0,1.781970176681284,-18.310301236445397,-17.194098001871875,2.810201573381976,33.82246509737498,43.0045023760289,2024-01-29 07:14:24.940,56.17753490262502,789.8353807236718,113.98162040065516
2,43338.1271889877,43167.321112255406,16473284.614035023,7883502.722847591,43009.73013872765,43001.909396322415,43910930.27776109,7823726.630715215,328.3970502600496,165.41171593299077,124907.49523781799,59776.09213237606,380.132711084365,1021.0176124166828,0.005497,2024-01-29T07:14:25.908,0,1.771116589500707,-18.510355370196297,-17.163374261528507,2.6140305401699764,34.05922212195949,43.23447908813187,2024-01-29 07:14:25.908,55.94077787804051,783.8876932022268,113.92496217956278
3,44747.62694972127,44469.67823844476,17007282.485028744,7958089.900810388,44390.276710858394,44381.22511106763,45323919.95375332,7895931.807395375,357.3502388628767,88.45312737712811,132838.44070827588,62158.09341501293,380.132711084365,1021.0176124166828,0.005621999999999999,2024-01-29T07:14:26.968,0,1.759340242245969,-18.552780783259507,-17.173264337347362,2.57581836459317,34.32016927865055,43.49034501380174,2024-01-29 07:14:26.968,55.67983072134945,777.3896363976146,113.86177906132342
4,44605.00513372613,44451.25033987182,16950601.081627518,7931567.39761988,44269.89427783759,44257.461300309595,45198060.94991894,7874005.766738765,335.11085588853894,193.78903956222348,123015.31258077174,57561.63088111476,380.132711084365,1021.0176124166828,0.005621999999999999,2024-01-29T07:14:28.040,0,1.7475459729473641,-18.46936929674814,-17.170315918800178,2.6634495005814673,34.5858622142754,43.75348924416861,2024-01-29 07:14:28.040,55.4141377857246,770.8342532860806,113.79664560758629
5,44327.07835248721,44164.65673892554,16848492.218627416,7883788.364600368,44018.77493744886,44029.15077302057,44944087.970596015,7829760.844240865,308.30341503834643,135.50596590497298,115462.5434208978,54027.520359504095,380.132711084365,1021.0176124166828,0.005621999999999999,2024-01-29T07:14:28.990,0,1.7371907520050627,-18.40057416039901,-17.164139586157507,2.7359494363994266,34.822819729392,43.99045020044231,2024-01-29 07:14:28.990,55.177180270608,765.0388921687161,113.73786725747503
6,44221.240612881855,44028.38871473355,16807237.632113047,7864484.415918908,43837.110918593055,43828.903032462564,44759893.575904004,7797672.128585276,384.12969428880024,199.4856822709844,142784.94693032652,66812.2873336315,380.132711084365,1021.0176124166828,0.005621999999999999,2024-01-29T07:14:29.957,0,1.7267434669608974,-18.631177421667044,-17.159649517414653,2.5090839124812754,35.065462554148716,44.23536212398273,2024-01-29 07:14:29.957,54.934537445851284,759.1536379172783,113.67699817977912
7,43991.81803782847,43785.97746055597,16719117.728389792,7823251.131501028,43604.20527315425,43611.66147951796,44522208.56547729,7756264.751732517,387.61276467421703,174.31598103800934,143157.0009351708,66986.37976851131,380.132711084365,1021.0176124166828,0.005621999999999999,2024-01-29T07:14:30.911,0,1.7165286680312306,-18.634002839442672,-17.15386564542889,2.509913055227308,35.306266788840766,44.480725891368635,2024-01-29 07:14:30.911,54.693733211159234,753.3614735859301,113.61590266476395
8,43717.8500267499,43449.85131528784,16615494.693042696,7774763.58319265,43363.865816059224,43376.225502241214,44271159.25482165,7712529.164888899,353.9842106906726,73.62581304662308,133001.55509371124,62234.41830375119,380.132711084365,1021.0176124166828,0.005621999999999999,2024-01-29T07:14:31.868,0,1.706373466185255,-18.554113157761506,-17.147864686432644,2.5934359753120244,35.54924266416762,44.73067562809018,2024-01-29 07:14:31.868,54.45075733583238,747.5653602983815,113.55355461225177
9,43465.25181466264,43181.02051877661,16519986.122672137,7730072.975508804,43057.305304623325,43051.37917608181,43960672.94868602,7658438.99124817,407.9465100393136,129.64134269479837,153089.424853649,71633.98426063338,380.132711084365,1021.0176124166828,0.005621999999999999,2024-01-29T07:14:32.945,0,1.6950546111333438,-18.70683433912096,-17.140161822933045,2.444764353920217,35.82437117511627,45.01663513066964,2024-01-29 07:14:32.945,54.17562882488373,741.0599636847946,113.48209602233003
