,source_mean,source_median,source_sum,source_rate,sky_mean,sky_median,sky_sum,sky_rate,target_mean,target_median,target_sum,target_rate,sc_area,bk_area,exposure_time,datetimes_sat,gains_sat,airmass,m_inst,m_inst_sky,calibed_mags,altitude,azimuth,utc,zenith_angle,km_distance
0,53391.32377120536,53375.51082802548,20295793.043870807,6795384.411441592,53242.8954187262,53230.6459410292,9363417.053298753,6773914.563280449,148.42835247916082,144.86488699627807,64124.05370742455,21469.848161142392,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:20.764,0,1.4946025138668233,-17.398609003808623,-17.007284089418874,3.824705669762226,41.616195686647146,59.779813935071886,2024-01-29 05:45:20.764,48.383804313352854,558.721462464429
1,53668.637225027465,53643.248893572185,20400432.79258462,6830419.618771997,53453.07393050767,53402.93034274412,9402318.265129417,6802057.439310537,215.563294519794,240.31855082806578,84709.39828712493,28362.179461460517,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:21.712,0,1.5049085070550063,-17.700885572949353,-17.011561640225448,3.518741913423649,41.26733546458183,59.776195817894624,2024-01-29 05:45:21.712,48.73266453541817,564.9965191780412
2,53863.41054188476,53864.56606990622,20473816.90262012,6854989.894804318,53765.72383946466,53721.98139988266,9457742.043774832,6842153.478948752,97.6867024200983,142.58467002356338,38338.5580352135,12836.415855566456,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:22.564,0,1.5142456349116742,-16.840146016958045,-17.017893669585398,4.376140914296287,40.95693597455987,59.772973276960464,2024-01-29 05:45:22.564,49.04306402544013,570.6361723980137
3,54177.562590414214,54153.07724778388,20593214.099195875,6894966.1522793,54089.20379835956,54059.93882272512,9515317.721115416,6883806.298321004,88.35879205465608,93.138425058758,33331.16607148945,11159.853958294634,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:23.623,0,1.5259498217404825,-16.688182849501892,-17.024406398557048,4.523916661185747,40.57520746943334,59.76900508835004,2024-01-29 05:45:23.623,49.42479253056666,577.6460828185814
4,54422.646289680524,54397.99833194329,20686267.01725839,6926121.887237492,54166.29359566644,54174.78526682954,9531098.684864927,6895222.953112404,256.3526940140873,223.2130651137486,92285.93031809852,30898.93412508841,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:24.483,0,1.5355348894771623,-17.793895317393364,-17.025952725535653,3.4147749324356806,40.26850294243486,59.76581206435852,2024-01-29 05:45:24.483,49.73149705756514,583.3387877997565
5,54750.00260119859,54691.998328458,20812586.731479336,6968415.923987832,54651.30849340165,54646.32961035585,9616359.206760742,6956904.226909717,98.69410779693862,45.66871810214798,34382.016871299595,11511.697078114841,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:25.439,0,1.5462742494743793,-16.721884953567702,-17.035631338395984,4.482943062915001,39.930982427315115,59.762292667276874,2024-01-29 05:45:25.439,50.069017572684885,589.667008795574
6,55055.468884614835,55036.98570227082,20927360.072307408,7006844.034159545,54884.240046156905,54859.114091882395,9658885.024194244,6987669.3047000645,171.22883845792967,177.8716103884217,57269.21645912528,19174.72945947977,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:26.394,0,1.557090954084913,-17.27585968399135,-17.04024906487203,3.925098427472536,39.597368114703855,59.7588076124262,2024-01-29 05:45:26.394,50.402631885296145,595.988664213924
7,55398.753226663604,55368.873553545134,21056403.15149903,7050049.900855549,55249.352496980595,55210.26730701448,9722158.734396724,7033444.335821034,149.40072968300956,158.60624653065315,49595.88610610366,16605.565034514784,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:27.454,0,1.5692005321344595,-17.1196707158354,-17.04744790856322,4.076954937772136,39.231178638136946,59.754974143008106,2024-01-29 05:45:27.454,50.768821361863054,603.0054338383517
8,55697.03667270867,55644.381909547745,21169658.96530214,7087969.916592762,55518.70435507667,55518.137476521806,9768951.86337713,7067296.577588922,178.33231763200456,126.24443302593863,61745.11764797941,20673.339003839385,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:28.319,0,1.5791631408702074,-17.357563136985764,-17.05272823303365,3.8354981824797973,38.93551416684633,59.751872170300615,2024-01-29 05:45:28.319,51.06448583315367,608.7314318198235
9,55930.68595065519,55920.05646668051,21259578.933785595,7118076.685556604,55815.190293027044,55819.58684041121,9818540.354710639,7103171.109472217,115.49565762814746,100.46962626929599,44518.524500101805,14905.576084386197,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:29.277,0,1.5902815390645628,-17.002408485486168,-17.058510951387532,4.186674991695372,38.61133378278636,59.74846343701617,2024-01-29 05:45:29.277,51.38866621721364,615.0731089189792
10,56167.48446875258,56125.1454772822,21350344.410796802,7148466.545477121,56102.58912513458,56113.52183915963,9871389.223166365,7141404.343947127,64.89534361799451,11.623638122575358,21092.696455188096,7062.201529993434,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:30.258,0,1.601759092328848,-16.19138683776515,-17.064087187884503,4.993590301804289,38.282890254775126,59.74500116390585,2024-01-29 05:45:30.258,51.717109745224874,621.5670954193689
11,56481.09546258202,56487.56846473029,21469463.862935532,7188349.809285205,56462.86367671699,56431.88057354332,9927910.94941788,7182294.68797618,18.231785865034908,55.68789118697168,18084.847229037434,6055.1213090250085,380.132711084365,175.9291886010284,0.007857,2024-01-29T05:45:31.187,0,1.6127143042800753,-16.024343691908832,-17.07103717920476,5.156713988709035,37.9750981614424,59.74174804988756,2024-01-29 05:45:31.187,52.0249018385576,627.7169067183902
