,datetime,target_sum,exposure_time,sky_mean,time,m_inst,m_inst_sky,calibed_mags,airmass,altitude,azimuth,utc,zenith_angle,km_distance
15,2024-01-18 09:09:35.932,196310.87740018964,0.046,32719408.310158975,2024-01-18T09:09:35.932,-16.69466479477758,-22.05989083418698,4.9227050354959445,1.6611623543886367,36.67663444069431,146.65428793237172,2024-01-18 09:09:35.932,53.32336555930569,561.5062895852973
16,2024-01-18 09:09:36.674,176952.17894294672,0.046,32501551.43781785,2024-01-18T09:09:36.674,-16.581943671482193,-22.052637461210193,5.0380610868528315,1.650869285930412,36.94430753996345,146.44060996246228,2024-01-18 09:09:36.674,53.05569246003655,556.6014358488652
17,2024-01-18 09:09:37.513,178416.14393898286,0.046,32263240.14212185,2024-01-18T09:09:37.513,-16.59088925660082,-22.04464718244261,5.03207002218467,1.6393277635252161,37.24958208370459,146.19447711296965,2024-01-18 09:09:37.513,52.75041791629541,551.064566651036
18,2024-01-18 09:09:38.365,197525.26171567105,0.046,31988078.28593588,2024-01-18T09:09:38.365,-16.70136049923723,-22.035347606241174,4.924572011347392,1.6277131472107271,37.56243176171417,145.93948417740896,2024-01-18 09:09:38.365,52.43756823828583,545.4521786087258
19,2024-01-18 09:09:39.118,220720.45219591632,0.046,31728444.30355535,2024-01-18T09:09:39.118,-16.82191032755081,-22.026499176872246,4.806627172147814,1.6175370320920024,37.84132397832307,145.70976942833968,2024-01-18 09:09:39.118,52.15867602167693,540.5008109003909
20,2024-01-18 09:09:39.978,196549.43768196926,0.046,31517613.44362908,2024-01-18T09:09:39.978,-16.695983398651975,-22.0192605424419,4.935503058758539,1.6060172399381258,38.162603103957764,145.442276712133,2024-01-18 09:09:39.978,51.837396896042236,534.8563625676653
21,2024-01-18 09:09:40.717,188420.52705363743,0.046,31300836.649568714,2024-01-18T09:09:40.717,-16.650124420186184,-22.01176709592806,4.983873706608233,1.5962056684987829,38.44103272716103,145.20792563908705,2024-01-18 09:09:40.717,51.55896727283897,530.0152823791445
22,2024-01-18 09:09:41.563,214910.46606910788,0.046,31080786.499671776,2024-01-18T09:09:41.563,-16.792947799506493,-22.00410723093871,4.843900190518024,1.585072978482458,38.76245195376905,144.93439806185975,2024-01-18 09:09:41.563,51.23754804623095,524.4840310740905
23,2024-01-18 09:09:42.432,196711.59822060727,0.046,30837804.38606865,2024-01-18T09:09:42.432,-16.69687880176435,-21.99558585381144,4.942868125557606,1.5737485857999332,39.09558683400246,144.64743725728448,2024-01-18 09:09:42.432,50.90441316599754,518.8147465887643
24,2024-01-18 09:09:43.172,228367.10002569482,0.046,30572767.18567264,2024-01-18T09:09:43.172,-16.85888772683381,-21.98621410352892,4.783305027010656,1.564194222551464,39.38164882073153,144.39814508206874,2024-01-18 09:09:43.172,50.61835117926847,513.9972189369317
25,2024-01-18 09:09:44.021,242590.75035454705,0.046,30370866.112005416,2024-01-18T09:09:44.021,-16.924489479008958,-21.979020173807918,4.7204834639204405,1.5533337072318432,39.71254275499579,144.10638440972434,2024-01-18 09:09:44.021,50.28745724500421,508.4819727178074
26,2024-01-18 09:09:44.869,247453.13417183422,0.046,30128835.322148822,2024-01-18T09:09:44.869,-16.946036281578372,-21.970333089843205,4.7016858372211985,1.5425943417634471,40.04591969899131,143.80865699957656,2024-01-18 09:09:44.869,49.95408030100869,502.98630839523116
27,2024-01-18 09:09:45.619,248349.2278859429,0.046,29889503.49792985,2024-01-18T09:09:45.619,-16.949960919789433,-21.961673983011785,4.700169464985112,1.5331867048308823,40.34315783060974,143.53992679906725,2024-01-18 09:09:45.619,49.65684216939026,498.13700412638076
28,2024-01-18 09:09:46.465,250032.73406608775,0.046,29698484.862369865,2024-01-18T09:09:46.465,-16.95729605911033,-21.954712964036705,4.695524599562838,1.5226774336995277,40.68112582054378,143.2305243012862,2024-01-18 09:09:46.465,49.31887417945622,492.68007010404875
29,2024-01-18 09:09:47.218,267136.93449162133,0.046,29491487.309527203,2024-01-18T09:09:47.218,-17.02913872937849,-21.947118919119863,4.626052951996539,1.5134152836837984,40.984325949795085,142.94937889499613,2024-01-18 09:09:47.218,49.015674050204915,487.8350417873803
30,2024-01-18 09:09:47.970,279505.02973451465,0.046,29267629.299142282,2024-01-18T09:09:47.970,-17.078277953209927,-21.938846094865912,4.579259399918067,1.5042521644751332,41.2893551450883,142.6630417962598,2024-01-18 09:09:47.970,48.7106448549117,483.00811214270453
31,2024-01-18 09:09:48.808,236225.67505714484,0.046,29071004.52594229,2024-01-18T09:09:48.808,-16.89562163133752,-21.931527327545375,4.764503384935728,1.494143731425254,41.63188137903006,142.33721830553614,2024-01-18 09:09:48.808,48.36811862096994,477.6433343430344
32,2024-01-18 09:09:49.556,290313.3452189155,0.046,28847799.267266117,2024-01-18T09:09:49.556,-17.119471384697526,-21.923158949254088,4.542939883661896,1.4852127288754673,41.93993281952435,142.04021312906627,2024-01-18 09:09:49.556,48.06006718047565,472.86774222680094
33,2024-01-18 09:09:50.519,305347.3830110617,0.046,28666853.73136346,2024-01-18T09:09:50.519,-17.174289390028555,-21.916327306973344,4.491032453340572,1.4738428746978798,42.339713203995366,141.64899081997117,2024-01-18 09:09:50.519,47.660286796004634,466.73819916882695
34,2024-01-18 09:09:51.373,277664.1199059617,0.046,28428092.976646814,2024-01-18T09:09:51.373,-17.0711032927855,-21.90724654863147,4.5967685929345805,1.4638814033115182,42.69721328025505,141.29345009005166,2024-01-18 09:09:51.373,47.30278671974495,461.32069661239836
35,2024-01-18 09:09:52.103,259099.39758626372,0.046,28210083.030774705,2024-01-18T09:09:52.103,-16.99596989259262,-21.89888814174325,4.674058464405666,1.455457375794765,43.004993106334204,140.9829197727725,2024-01-18 09:09:52.103,46.995006893665796,456.7038941775275
36,2024-01-18 09:09:52.858,325118.01309210807,0.046,28002292.941179104,2024-01-18T09:09:52.858,-17.242406464876574,-21.8908612171756,4.429829487813093,1.446833636152121,43.32541018663227,140.65515281979157,2024-01-18 09:09:52.858,46.67458981336773,451.9430874386361
37,2024-01-18 09:09:53.712,316916.58414853923,0.046,27841797.238207452,2024-01-18T09:09:53.712,-17.214666300201834,-21.88462039653931,4.460038703980655,1.4371885470076222,43.69037760726499,140.27607569762887,2024-01-18 09:09:53.712,46.30962239273501,446.57587727042755
38,2024-01-18 09:09:54.562,318590.8433328029,0.046,27629482.465809114,2024-01-18T09:09:54.562,-17.220387108297956,-21.876309106008502,4.456745663912285,1.4277047273635617,44.056265509488924,139.88971658455438,2024-01-18 09:09:54.562,45.943734490511076,441.2532964712208
