,source_mean,source_median,source_sum,source_rate,sky_mean,sky_median,sky_sum,sky_rate,target_mean,target_median,target_sum,target_rate,sc_area,bk_area,exposure_time,datetimes_sat,gains_sat,airmass,m_inst,m_inst_sky,calibed_mags,altitude,azimuth,utc,zenith_angle,km_distance,sunsep
0,38893.50708787976,38846.50037792895,14784460.239617892,7635039.531455821,38730.14282516046,38714.37513893827,6815132.171940036,7604618.689977437,163.36426271930395,132.12523899068037,58906.796676024795,30420.841478383503,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:25.383,0,1.3811417507307056,-17.77696462874841,-17.13224720467862,3.48694303432423,45.962241152086776,43.01650824649266,2024-01-29 05:17:25.383,44.037758847913224,473.3806197343152,76.69688272639401
2,39423.790270610385,39361.1057178116,14986886.763356902,7739577.301919767,39258.932158316675,39240.05436261759,6908680.6492301375,7709004.119470395,164.8581122937103,121.05135519400937,59201.78912749328,30573.18244937191,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:32.937,0,1.4606645431011884,-17.782388191286408,-17.14697066490826,3.4530685096507536,42.81414541130242,43.04427233914249,2024-01-29 05:17:32.937,47.18585458869758,524.1153124243149,79.27487223791869
3,39530.744995828485,39489.04832104832,15025941.843873529,7759746.254916075,39315.34901781571,39264.29022565163,6917174.647338542,7718482.089249728,215.39597801277705,224.7580953966899,79903.76658846065,41264.1656663472,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:34.007,0,1.4724206052292175,-18.10796924220434,-17.14852979689206,3.123281478679849,42.39033628771083,43.047531092970566,2024-01-29 05:17:34.007,47.60966371228917,531.3021317488659,79.62292775558613
4,39567.26933353873,39553.44203195412,15040700.394109758,7767367.913918453,39407.45307457059,39416.536134107824,6933287.0255562235,7736460.976444117,159.81625896813784,136.90589784629265,59848.071032915264,30906.937474336486,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:35.078,0,1.4843085673931569,-17.794176505114258,-17.151070376037993,3.4328210456873407,41.97140922177039,43.05064592067369,2024-01-29 05:17:35.078,48.02859077822961,538.4957693157335,79.96718581772642
5,39604.802655590094,39553.3104013104,15055968.651204308,7775252.797411254,39540.888024392974,39579.04775391016,6953852.582198052,7759408.9123700205,63.91463119711989,-25.737352599760925,30680.03609780036,15843.885041233767,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:36.045,0,1.4951457765659484,-17.06869077778739,-17.154740504933347,4.154429532054249,41.59763898178699,43.053336871334615,2024-01-29 05:17:36.045,48.40236101821301,544.9909521646231,80.27450855391072
6,39728.04354914517,39680.5487954267,15100461.279898735,7798229.826902667,39623.435200316395,39591.5604543291,6967023.7896094695,7774105.914207025,104.6083488287768,88.98834109760355,46713.44877826981,24123.912695641608,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:36.997,0,1.505910720215013,-17.52515594145294,-17.15700476960037,3.6941129819494085,41.23376340779451,43.0558776915769,2024-01-29 05:17:36.997,48.76623659220549,551.3854630308439,80.57384788053764
7,39891.303648440575,39855.237474541755,15162591.821454428,7830315.48530346,39762.799307831316,39764.69875744235,6994696.3532236535,7804984.155325585,128.5043406092591,90.53871709940722,49051.486810458824,25331.329977875215,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:37.957,0,1.5168622221736996,-17.57818155190753,-17.16081683635354,3.6371692398716027,40.870894887328376,43.058334794558206,2024-01-29 05:17:37.957,49.129105112671624,557.8337901050999,80.87250430577492
8,39961.21539657683,39939.52745694022,15190469.009154163,7844711.914166175,39928.45893649595,39952.012886267534,7023200.172190749,7836789.947052615,32.7564600808837,-12.485429327316524,15340.06567057781,7921.967113560107,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:38.926,0,1.5280140788444214,-16.316119159190567,-17.16533082997216,4.895241819826449,40.50871174255276,43.06071166264974,2024-01-29 05:17:38.926,49.49128825744724,564.3426524012987,81.17073764945359
10,40242.745956871906,40206.158013544016,15297083.040885951,7899769.882714719,40107.783542481884,40088.068208856625,7055531.346953418,7872866.467605133,134.96241439002188,118.08980468739173,52095.666218740866,26903.415109586316,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:40.840,0,1.5503293874277801,-17.64355510293173,-17.170196114420612,3.5598221021178307,39.80517745606567,43.065115520931876,2024-01-29 05:17:40.840,50.19482254393433,577.1994087459893,81.75043868081256
12,40714.67092370168,40704.38740920097,15476524.801997835,7992437.786546066,40646.17070145486,40636.28025101709,7150266.2736446075,7978575.7885594135,68.50022224681743,68.10715818388417,26842.3178728763,13861.99798665159,380.132711084365,175.9291886010284,0.005094,2024-01-29T05:17:44.658,0,1.5959822059892872,-16.923601149807073,-17.18467355016251,4.263442793122869,38.44742643131177,43.072833727775006,2024-01-29 05:17:44.658,51.55257356868823,602.8467052215053,82.87056202501353
